Symbol,Name,Country,Sector,Industry,exchange
BNFT,Benefitfocus Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
BNGO,Bionano Genomics Inc. Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NDQ
BNR,Burning Rock Biotech Limited American Depositary Shares,China,Health Care,Medical Specialities,NDQ
BNTX,BioNTech SE American Depositary Share,Germany,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
BOKF,BOK Financial Corporation Common Stock,United States,Finance,Major Banks,NDQ
BOLT,Bolt Biotherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
BOMN,Boston Omaha Corporation Class A Common Stock,United States,Technology,Advertising,NDQ
BOOM,DMC Global Inc. Common Stock,United States,,,NDQ
BPMC,Blueprint Medicines Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
BPOP,Popular Inc. Common Stock,United States,Finance,Major Banks,NDQ
BRKL,Brookline Bancorp Inc. Common Stock,United States,Finance,Savings Institutions,NDQ
BRKR,Bruker Corporation Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NDQ
BRKS,Brooks Automation Inc.,United States,Technology,Industrial Machinery/Components,NDQ
BROG,Brooge Energy Limited Ordinary Shares,United Kingdom,Energy,Integrated oil Companies,NDQ
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,United States,Finance,Specialty Insurers,NDQ
BRY,Berry Corporation (bry) Common Stock,United States,Energy,Oil & Gas Production,NDQ
BRZE,Braze Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
BSKY,Big Sky Growth Partners Inc. Class A Common Stock,United States,,,NDQ
BSRR,Sierra Bancorp Common Stock,United States,Finance,Major Banks,NDQ
BSY,Bentley Systems Incorporated Class B Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
BTAI,BioXcel Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
BTAQ,Burgundy Technology Acquisition Corporation Class A Ordinary shares,Cayman Islands,Finance,Business Services,NDQ
BTAQU,Burgundy Technology Acquisition Corporation Unit,Cayman Islands,Finance,Business Services,NDQ
BTBT,Bit Digital Inc. Ordinary Shares,United States,Finance,Finance: Consumer Services,NDQ
BTNB,Bridgetown 2 Holdings Limited Class A Ordinary Shares,China,Finance,Business Services,NDQ
BTRS,BTRS Holdings Inc. Class 1 Common Stock,United States,Technology,EDP Services,NDQ
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,Hong Kong,Finance,Business Services,NDQ
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
BUSE,First Busey Corporation Class A Common Stock,United States,Finance,Major Banks,NDQ
BVS,Bioventus Inc. Class A Common Stock,United States,Health Care,Medical/Dental Instruments,NDQ
BWB,Bridgewater Bancshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,Mexico,Consumer Services,Catalog/Specialty Distribution,NDQ
BYND,Beyond Meat Inc. Common Stock,United States,Consumer Non-Durables,Specialty Foods,NDQ
BYRN,Byrna Technologies Inc. Common Stock,United States,Consumer Non-Durables,Military/Government/Technical,NDQ
BYSI,BeyondSpring Inc. Ordinary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
BYTS,BYTE Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services,NDQ
BZ,KANZHUN LIMITED American Depository Shares,China,,,NDQ
BZUN,Baozun Inc. American Depositary Shares,China,Consumer Services,Catalog/Specialty Distribution,NDQ
CABA,Cabaletta Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CAC,Camden National Corporation Common Stock,United States,Finance,Major Banks,NDQ
CACC,Credit Acceptance Corporation Common Stock,United States,Finance,Finance: Consumer Services,NDQ
CADL,Candel Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CAKE,Cheesecake Factory Incorporated (The) Common Stock,United States,Consumer Services,Restaurants,NDQ
CALM,Cal-Maine Foods Inc. Common Stock,United States,,Farming/Seeds/Milling,NDQ
CALT,Calliditas Therapeutics AB American Depositary Shares,Sweden,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CAMP,CalAmp Corp. Common Stock,United States,Consumer Services,Telecommunications Equipment,NDQ
CAMT,Camtek Ltd. Ordinary Shares,Israel,Capital Goods,Electronic Components,NDQ
CAN,Canaan Inc. American Depositary Shares,China,Technology,Semiconductors,NDQ
CAR,Avis Budget Group Inc. Common Stock,United States,Miscellaneous,Rental/Leasing Companies,NDQ
CARA,Cara Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CARE,Carter Bankshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
CARG,CarGurus Inc. Class A Common Stock ,United States,,,NDQ
CASA,Casa Systems Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment,NDQ
CASH,Meta Financial Group Inc. Common Stock,United States,Finance,Banks,NDQ
CASS,Cass Information Systems Inc Common Stock,United States,Miscellaneous,Business Services,NDQ
CASY,Casey's General Stores Inc. Common Stock,United States,Consumer Services,Food Chains,NDQ
CATC,Cambridge Bancorp Common Stock,United States,Finance,Major Banks,NDQ
CATY,Cathay General Bancorp Common Stock,United States,Finance,Major Banks,NDQ
CBNK,Capital Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
CBRL,Cracker Barrel Old Country Store Inc Common Stock,United States,Consumer Services,Restaurants,NDQ
CBSH,Commerce Bancshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
CBTX,CBTX Inc. Common Stock,United States,Finance,Major Banks,NDQ
CCAP,Crescent Capital BDC Inc. Common stock,United States,,,NDQ
CCB,Coastal Financial Corporation Common Stock,United States,Finance,Commercial Banks,NDQ
CCBG,Capital City Bank Group Common Stock,United States,Finance,Major Banks,NDQ
CCCC,C4 Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,NDQ
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,United Kingdom,Consumer Non-Durables,Beverages (Production/Distribution),NDQ
CCMP,CMC Materials Inc. Common Stock,United States,Technology,Semiconductors,NDQ
CCNE,CNB Financial Corporation Common Stock,United States,Finance,Major Banks,NDQ
CCOI,Cogent Communications Holdings Inc.,United States,Consumer Services,Telecommunications Equipment,NDQ
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,United States,Technology,Diversified Commercial Services,NDQ
CCSI,Consensus Cloud Solutions Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
CCXI,ChemoCentryx Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CD,Chindata Group Holdings Limited American Depositary Shares,China,Finance,Investment Bankers/Brokers/Service,NDQ
CDAK,Codiak BioSciences Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
CDEV,Centennial Resource Development Inc. Class A Common Stock,United States,Energy,Oil & Gas Production,NDQ
CDK,CDK Global Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
CDLX,Cardlytics Inc. Common Stock,United States,Technology,EDP Services,NDQ
CDMO,Avid Bioservices Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CDNA,CareDx Inc. Common Stock,United States,Health Care,Medical Specialities,NDQ
CDNS,Cadence Design Systems Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
CDW,CDW Corporation Common Stock,United States,Technology,EDP Services,NDQ
CDXC,ChromaDex Corporation Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
