symbol,name,country,sector,industry,exchange
FTPA,FTAC Parnassus Acquisition Corp. Class A Common Stock,United States,,,NDQ
FTVI,FinTech Acquisition Corp. VI Class A Common Stock,United States,,,NDQ
FULC,Fulcrum Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
FULT,Fulton Financial Corporation Common Stock,United States,Finance,Major Banks,NDQ
FUTU,Futu Holdings Limited American Depositary Shares,Hong Kong,Finance,Investment Bankers/Brokers/Service,NDQ
FUV,Arcimoto Inc. Common Stock,United States,Consumer Non-Durables,Motor Vehicles,NDQ
FWAC,Fifth Wall Acquisition Corp. III Class A Ordinary Shares,United States,,,NDQ
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,United States,Consumer Services,Broadcasting,NDQ
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,United States,Consumer Services,Broadcasting,NDQ
FWRD,Forward Air Corporation Common Stock,United States,Transportation,Oil Refining/Marketing,NDQ
FWRG,First Watch Restaurant Group Inc. Common Stock,United States,Consumer Services,Restaurants,NDQ
FYBR,Frontier Communications Parent Inc. Common Stock,United States,Consumer Services,Telecommunications Equipment,NDQ
GABC,German American Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
GAIN,Gladstone Investment Corporation Business Development Company,United States,Finance,Finance/Investors Services,NDQ
GAMB,Gambling.com Group Limited Ordinary Shares,Jersey,,,NDQ
GAMC,Golden Arrow Merger Corp. Class A Common Stock,United States,,,NDQ
GAN,GAN Limited Ordinary Shares,United Kingdom,Technology,Computer Software: Programming Data Processing,NDQ
GBCI,Glacier Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
GBDC,Golub Capital BDC Inc. Common Stock,United States,Finance,Investment Managers,NDQ
GBIO,Generation Bio Co. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),Ireland,Finance,Property-Casualty Insurers,NDQ
GBT,Global Blood Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GCMG,GCM Grosvenor Inc. Class A Common Stock,United States,Finance,Finance/Investors Services,NDQ
GDEN,Golden Entertainment Inc. Common Stock,United States,Consumer Services,Hotels/Resorts,NDQ
GDEV,Nexters Inc. Ordinary Shares,Cyprus,,,NDQ
GDRX,GoodRx Holdings Inc. Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
GDS,GDS Holdings Limited ADS,China,Technology,Computer Software: Programming Data Processing,NDQ
GDYN,Grid Dynamics Holdings Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
GERN,Geron Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GET,Getnet Adquirencia e Servicos para Meios de Pagamento S.A. American Depositary Shares,Brazil,,,NDQ
GEVO,Gevo Inc. Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NDQ
GFS,GlobalFoundries Inc. Ordinary Shares,United States,,,NDQ
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,Argentina,Finance,Commercial Banks,NDQ
GGMC,Glenfarne Merger Corp. Class A Common Stock,United States,,,NDQ
GGPI,Gores Guggenheim Inc. Class A Common Stock,United States,Finance,Business Services,NDQ
GH,Guardant Health Inc. Common Stock,United States,Health Care,Medical Specialities,NDQ
GHRS,GH Research PLC Ordinary Shares,Ireland,,,NDQ
GIG,GigCapital4 Inc. Common stock,United States,,,NDQ
GIII,G-III Apparel Group LTD. Common Stock,United States,Consumer Services,Department/Specialty Retail Stores,NDQ
GIIX,Gores Holdings VIII Inc. Class A Common Stock,United States,,,NDQ
GILD,Gilead Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,Israel,Technology,Radio And Television Broadcasting And Communications Equipment,NDQ
GLAD,Gladstone Capital Corporation Common Stock,United States,Finance,Finance/Investors Services,NDQ
GLBE,Global-E Online Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software,NDQ
GLBL,Cartesian Growth Corporation Class A Ordinary Share,United States,Finance,Business Services,NDQ
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,United States,Capital Goods,Oilfield Services/Equipment,NDQ
GLNG,Golar Lng Ltd,Bermuda,Energy,Oilfield Services/Equipment,NDQ
GLPG,Galapagos NV American Depositary Shares,Belgium,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GLPI,Gaming and Leisure Properties Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NDQ
GLSI,Greenwich LifeSciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
